,ParticipantID,1_AQ_qn0,1_AQ_qn1,1_AQ_qn2,1_AQ_qn3,1_AQ_qn4,1_AQ_qn5,1_AQ_qn6,1_AQ_qn7,1_AQ_qn8,1_AQ_qn9,2_AQ_qn10,2_AQ_qn11,2_AQ_qn12,2_AQ_qn13,2_AQ_qn14,2_AQ_qn15,2_AQ_qn16,2_AQ_qn17,2_AQ_qn18,2_AQ_qn19,3_AQ_qn20,3_AQ_qn21,3_AQ_qn22,3_AQ_qn23,3_AQ_qn24,3_AQ_qn25,3_AQ_qn26,3_AQ_qn27,3_AQ_qn28,3_AQ_qn29,4_AQ_qn30,4_AQ_qn31,4_AQ_qn32,4_AQ_qn33,4_AQ_qn34,4_AQ_qn35,4_AQ_qn36,4_AQ_qn37,4_AQ_qn38,4_AQ_qn39,5_AQ_qn40,5_AQ_qn41,5_AQ_qn42,5_AQ_qn43,5_AQ_qn44,5_AQ_qn45,5_AQ_qn46,5_AQ_qn47,5_AQ_qn48,5_AQ_qn49,5_AQ_qn50,social skill,attention switching,imagination,attention to detail,communication,social_skill_nanMean,attn_switch_nanMean,img_nanMean,attn_to_det_nanMean,comm_nanMean,social_skill_numMissResp,attn_switch_numMissResp,img_numMissResp,attn_to_det_numMissResp,comm_numMissResp,social_skill_reweigh,attn_switch_reweigh,img_reweigh,attn_to_det_reweigh,comm_reweigh,Total_numMissResp
43,30093,2.0,2.0,1.0,1.0,2.0,2.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,0.0,3.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,8.0,10.0,10.0,18.0,6.0,0.8,1.0,1.0,1.8,0.6,0,0,0,0,0,8.0,10.0,10.0,18.0,6.0,0
44,30094,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,0.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,1.0,1.0,0.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,0.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,14.0,14.0,14.0,13.0,16.0,1.4,1.4,1.4,1.3,1.6,0,0,0,0,0,14.0,14.0,14.0,13.0,16.0,0
45,30095,2.0,2.0,1.0,3.0,2.0,2.0,1.0,1.0,1.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,3.0,1.0,2.0,1.0,1.0,2.0,3.0,1.0,3.0,3.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,0.0,3.0,1.0,3.0,3.0,1.0,1.0,2.0,2.0,3.0,2.0,1.0,2.0,1.0,3.0,0.0,2.0,20.0,25.0,14.0,18.0,15.0,2.0,2.5,1.4,1.8,1.5,0,0,0,0,0,20.0,25.0,14.0,18.0,15.0,0
46,30096,1.0,3.0,2.0,2.0,3.0,2.0,0.0,2.0,0.0,1.0,2.0,3.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,3.0,2.0,1.0,2.0,3.0,1.0,2.0,0.0,2.0,2.0,1.0,2.0,1.0,0.0,3.0,1.0,2.0,1.0,0.0,1.0,2.0,2.0,3.0,1.0,1.0,3.0,1.0,1.0,0.0,3.0,13.0,19.0,14.0,14.0,10.0,1.3,1.9,1.4,1.4,1.0,0,0,0,0,0,13.0,19.0,14.0,14.0,10.0,0
47,30097,0.0,1.0,1.0,2.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,1.0,0.0,2.0,1.0,2.0,1.0,1.0,0.0,1.0,2.0,1.0,2.0,0.0,1.0,2.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,3.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,0.0,1.0,2.0,1.0,0.0,1.0,1.0,4.0,15.0,8.0,14.0,8.0,0.4,1.5,0.8,1.4,0.8,0,0,0,0,0,4.0,15.0,8.0,14.0,8.0,0
48,30098,1.0,2.0,2.0,3.0,2.0,3.0,2.0,0.0,0.0,1.0,1.0,2.0,0.0,2.0,1.0,2.0,0.0,1.0,3.0,1.0,2.0,0.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,0.0,1.0,1.0,0.0,3.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,2.0,0.0,2.0,1.0,0.0,1.0,0.0,1.0,7.0,14.0,13.0,16.0,7.0,0.7,1.4,1.3,1.6,0.7,0,0,0,0,0,7.0,14.0,13.0,16.0,7.0,0
49,30099,2.0,2.0,1.0,2.0,3.0,2.0,1.0,1.0,0.0,3.0,2.0,3.0,2.0,1.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,2.0,2.0,1.0,2.0,1.0,3.0,0.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,1.0,0.0,1.0,1.0,3.0,1.0,2.0,3.0,2.0,0.0,3.0,21.0,19.0,11.0,18.0,14.0,2.1,1.9,1.1,1.8,1.4,0,0,0,0,0,21.0,19.0,11.0,18.0,14.0,0
51,30101,2.0,3.0,1.0,3.0,3.0,3.0,1.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,1.0,2.0,1.0,0.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,0.0,2.0,1.0,2.0,1.0,1.0,3.0,3.0,3.0,3.0,2.0,1.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,1.0,26.0,23.0,18.0,24.0,21.0,2.6,2.3,1.8,2.4,2.1,0,0,0,0,0,26.0,23.0,18.0,24.0,21.0,0
52,30102,0.0,3.0,0.0,3.0,0.0,2.0,2.0,0.0,3.0,1.0,0.0,3.0,1.0,1.0,1.0,1.0,0.0,1.0,3.0,1.0,0.0,2.0,3.0,2.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,13.0,8.0,17.0,4.0,0.4,1.3,0.8,1.7,0.4,0,0,0,0,0,4.0,13.0,8.0,17.0,4.0,0
53,30103,3.0,3.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,1.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,0.0,1.0,1.0,3.0,0.0,12.0,13.0,7.0,10.0,0.0,1.2,1.3,0.7,1.0,0.0,0,0,0,0,0,12.0,13.0,7.0,10.0,0.0,0
54,30104,0.0,2.0,1.0,3.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,3.0,1.0,2.0,3.0,1.0,1.0,2.0,1.0,0.0,1.0,2.0,0.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,12.0,18.0,6.0,11.0,12.0,1.2,1.8,0.6,1.1,1.2,0,0,0,0,0,12.0,18.0,6.0,11.0,12.0,0
55,30105,2.0,2.0,1.0,3.0,3.0,3.0,2.0,2.0,1.0,1.0,2.0,3.0,1.0,2.0,2.0,3.0,2.0,1.0,2.0,2.0,1.0,2.0,3.0,2.0,3.0,1.0,2.0,3.0,1.0,2.0,2.0,2.0,2.0,3.0,1.0,3.0,2.0,3.0,2.0,2.0,0.0,2.0,1.0,3.0,1.0,2.0,3.0,1.0,2.0,3.0,1.0,17.0,26.0,14.0,24.0,17.0,1.7,2.6,1.4,2.4,1.7,0,0,0,0,0,17.0,26.0,14.0,24.0,17.0,0
56,30106,2.0,2.0,0.0,2.0,3.0,3.0,0.0,0.0,1.0,1.0,1.0,3.0,3.0,3.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,1.0,0.0,1.0,2.0,3.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0,3.0,1.0,2.0,0.0,16.0,9.0,6.0,20.0,5.0,1.6,0.9,0.6,2.0,0.5,0,0,0,0,0,16.0,9.0,6.0,20.0,5.0,0
59,30109,2.0,1.0,0.0,1.0,2.0,3.0,0.0,0.0,1.0,0.0,1.0,3.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,0.0,2.0,3.0,3.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,2.0,1.0,0.0,3.0,0.0,7.0,9.0,4.0,22.0,4.0,0.7,0.9,0.4,2.2,0.4,0,0,0,0,0,7.0,9.0,4.0,22.0,4.0,0
60,30110,1.0,2.0,2.0,1.0,0.0,2.0,1.0,1.0,2.0,3.0,1.0,1.0,2.0,2.0,3.0,1.0,1.0,0.0,2.0,1.0,2.0,2.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0,1.0,3.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,0.0,2.0,16.0,17.0,16.0,10.0,11.0,1.6,1.7,1.6,1.0,1.1,0,0,0,0,0,16.0,17.0,16.0,10.0,11.0,0
61,30111,3.0,3.0,1.0,0.0,2.0,1.0,1.0,1.0,0.0,2.0,1.0,2.0,3.0,1.0,1.0,0.0,2.0,3.0,2.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,2.0,0.0,3.0,1.0,0.0,1.0,2.0,2.0,0.0,1.0,2.0,2.0,0.0,1.0,3.0,1.0,3.0,2.0,16.0,10.0,11.0,15.0,9.0,1.6,1.0,1.1,1.5,0.9,0,0,0,0,0,16.0,10.0,11.0,15.0,9.0,0
62,30112,0.0,2.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,3.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,0.0,2.0,2.0,1.0,2.0,2.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,0.0,3.0,2.0,1.0,3.0,3.0,2.0,2.0,1.0,2.0,0.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,0.0,3.0,0.0,11.0,20.0,10.0,17.0,13.0,1.1,2.0,1.0,1.7,1.3,0,0,0,0,0,11.0,20.0,10.0,17.0,13.0,0
63,30113,2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,9.0,11.0,7.0,6.0,3.0,0.9,1.1,0.7,0.6,0.3,0,0,0,0,0,9.0,11.0,7.0,6.0,3.0,0
64,30114,2.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,2.0,1.0,3.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,2.0,1.0,1.0,0.0,1.0,1.0,3.0,2.0,0.0,1.0,0.0,1.0,2.0,2.0,3.0,0.0,2.0,2.0,1.0,1.0,2.0,0.0,11.0,10.0,11.0,13.0,6.0,1.1,1.0,1.1,1.3,0.6,0,0,0,0,0,11.0,10.0,11.0,13.0,6.0,0
66,30116,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,3.0,1.0,3.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,3.0,1.0,1.0,1.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,2.0,1.0,3.0,1.0,1.0,3.0,1.0,0.0,3.0,0.0,8.0,16.0,9.0,14.0,4.0,0.8,1.6,0.9,1.4,0.4,0,0,0,0,0,8.0,16.0,9.0,14.0,4.0,0
68,30118,1.0,3.0,1.0,3.0,3.0,3.0,2.0,0.0,1.0,0.0,3.0,3.0,1.0,1.0,2.0,3.0,2.0,1.0,1.0,0.0,0.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,1.0,2.0,1.0,0.0,2.0,2.0,1.0,3.0,1.0,2.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,2.0,3.0,3.0,1.0,0.0,3.0,20.0,22.0,15.0,19.0,20.0,2.0,2.2,1.5,1.9,2.0,0,0,0,0,0,20.0,22.0,15.0,19.0,20.0,0
69,30119,2.0,2.0,0.0,2.0,2.0,3.0,2.0,0.0,2.0,1.0,1.0,3.0,2.0,1.0,2.0,2.0,1.0,2.0,3.0,1.0,0.0,1.0,2.0,1.0,2.0,0.0,1.0,2.0,2.0,1.0,2.0,1.0,0.0,1.0,0.0,3.0,1.0,1.0,0.0,2.0,0.0,2.0,0.0,2.0,1.0,2.0,1.0,0.0,2.0,3.0,1.0,14.0,15.0,6.0,23.0,10.0,1.4,1.5,0.6,2.3,1.0,0,0,0,0,0,14.0,15.0,6.0,23.0,10.0,0
70,30120,3.0,2.0,1.0,3.0,0.0,2.0,2.0,1.0,1.0,3.0,3.0,2.0,0.0,3.0,3.0,0.0,2.0,0.0,0.0,2.0,2.0,3.0,1.0,0.0,3.0,3.0,3.0,2.0,2.0,0.0,1.0,1.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,0.0,0.0,0.0,2.0,3.0,2.0,3.0,3.0,3.0,0.0,1.0,3.0,22.0,22.0,14.0,11.0,18.0,2.2,2.2,1.4,1.1,1.8,0,0,0,0,0,22.0,22.0,14.0,11.0,18.0,0
71,30121,2.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,3.0,0.0,0.0,3.0,2.0,1.0,1.0,2.0,1.0,1.0,3.0,0.0,0.0,0.0,3.0,3.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,9.0,8.0,18.0,2.0,0.5,0.9,0.8,1.8,0.2,0,0,0,0,0,5.0,9.0,8.0,18.0,2.0,0
73,30123,1.0,,1.0,2.0,2.0,1.0,0.0,3.0,2.0,3.0,1.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,3.0,2.0,2.0,1.0,1.0,3.0,0.0,0.0,1.0,0.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0,0.0,2.0,2.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,6.0,15.0,14.0,12.0,7.0,0.6,1.6666666666666667,1.4,1.2,0.7,0,1,0,0,0,6.0,16.666666666666668,14.0,12.0,7.0,1
74,30124,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,,2.0,2.0,0.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,1.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,1.0,1.0,21.0,24.0,14.0,16.0,19.0,2.1,2.4,1.4,1.6,2.111111111111111,0,0,0,0,1,21.0,24.0,14.0,16.0,21.11111111111111,1
77,30127,0.0,1.0,0.0,1.0,3.0,3.0,3.0,0.0,2.0,1.0,0.0,3.0,3.0,3.0,0.0,2.0,3.0,2.0,3.0,0.0,0.0,1.0,3.0,3.0,1.0,2.0,0.0,2.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,1.0,3.0,2.0,0.0,3.0,0.0,2.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,7.0,10.0,9.0,22.0,16.0,0.7,1.0,0.9,2.2,1.6,0,0,0,0,0,7.0,10.0,9.0,22.0,16.0,0
78,30128,0.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,3.0,3.0,1.0,1.0,2.0,2.0,2.0,0.0,3.0,1.0,0.0,3.0,3.0,2.0,1.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,3.0,1.0,1.0,2.0,0.0,2.0,2.0,0.0,3.0,1.0,1.0,3.0,1.0,1.0,0.0,2.0,14.0,14.0,10.0,14.0,9.0,1.4,1.4,1.0,1.4,0.9,0,0,0,0,0,14.0,14.0,10.0,14.0,9.0,0
79,30129,1.0,2.0,3.0,0.0,2.0,1.0,1.0,3.0,2.0,1.0,2.0,2.0,2.0,3.0,2.0,0.0,3.0,0.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,0.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,18.0,14.0,19.0,19.0,13.0,1.8,1.4,1.9,1.9,1.3,0,0,0,0,0,18.0,14.0,19.0,19.0,13.0,0
80,30130,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,3.0,1.0,1.0,1.0,2.0,0.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,12.0,14.0,11.0,14.0,16.0,1.2,1.4,1.1,1.4,1.6,0,0,0,0,0,12.0,14.0,11.0,14.0,16.0,0
81,30131,1.0,2.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,2.0,2.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,3.0,0.0,0.0,1.0,2.0,3.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,7.0,14.0,8.0,16.0,3.0,0.7,1.4,0.8,1.6,0.3,0,0,0,0,0,7.0,14.0,8.0,16.0,3.0,0
83,30133,0.0,1.0,1.0,2.0,0.0,3.0,1.0,1.0,3.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,,2.0,1.0,3.0,1.0,1.0,2.0,2.0,0.0,0.0,3.0,1.0,2.0,0.0,2.0,0.0,2.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,13.0,5.0,15.0,8.0,0.2,1.3,0.5,1.5,0.8888888888888888,0,0,0,0,1,2.0,13.0,5.0,15.0,8.88888888888889,1
84,30134,2.0,2.0,0.0,3.0,3.0,3.0,0.0,0.0,2.0,0.0,2.0,3.0,2.0,0.0,1.0,2.0,3.0,0.0,2.0,0.0,0.0,2.0,3.0,1.0,2.0,3.0,0.0,2.0,2.0,3.0,0.0,1.0,2.0,1.0,0.0,3.0,0.0,1.0,3.0,1.0,0.0,2.0,1.0,3.0,2.0,1.0,3.0,3.0,1.0,3.0,1.0,16.0,18.0,5.0,26.0,12.0,1.6,1.8,0.5,2.6,1.2,0,0,0,0,0,16.0,18.0,5.0,26.0,12.0,0
85,30135,0.0,3.0,1.0,2.0,1.0,0.0,1.0,1.0,0.0,3.0,3.0,1.0,3.0,1.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,2.0,0.0,2.0,3.0,2.0,0.0,2.0,1.0,0.0,0.0,2.0,2.0,3.0,0.0,3.0,1.0,2.0,2.0,0.0,3.0,0.0,1.0,2.0,1.0,1.0,3.0,1.0,2.0,1.0,3.0,14.0,25.0,13.0,6.0,9.0,1.4,2.5,1.3,0.6,0.9,0,0,0,0,0,14.0,25.0,13.0,6.0,9.0,0
86,30136,1.0,2.0,0.0,1.0,3.0,3.0,1.0,0.0,3.0,1.0,0.0,3.0,1.0,1.0,1.0,2.0,0.0,3.0,3.0,1.0,2.0,0.0,2.0,2.0,3.0,0.0,0.0,0.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,0.0,3.0,2.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,5.0,13.0,11.0,23.0,6.0,0.5,1.3,1.1,2.3,0.6,0,0,0,0,0,5.0,13.0,11.0,23.0,6.0,0
88,30138,3.0,3.0,0.0,2.0,3.0,3.0,2.0,0.0,2.0,0.0,0.0,3.0,1.0,0.0,1.0,3.0,2.0,0.0,2.0,0.0,3.0,0.0,3.0,3.0,2.0,0.0,0.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,6.0,13.0,10.0,25.0,4.0,0.6,1.3,1.0,2.5,0.4,0,0,0,0,0,6.0,13.0,10.0,25.0,4.0,0
89,30139,2.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,2.0,1.0,3.0,3.0,3.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,,2.0,2.0,2.0,3.0,2.0,1.0,3.0,3.0,3.0,0.0,1.0,2.0,2.0,1.0,3.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,3.0,2.0,1.0,3.0,2.0,1.0,2.0,1.0,19.0,21.0,9.0,24.0,14.0,1.9,2.1,1.0,2.4,1.4,0,0,1,0,0,19.0,21.0,10.0,24.0,14.0,1
90,30140,2.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,2.0,3.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,16.0,16.0,13.0,12.0,14.0,1.6,1.6,1.3,1.2,1.4,0,0,0,0,0,16.0,16.0,13.0,12.0,14.0,0
92,30142,1.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,0.0,1.0,2.0,2.0,2.0,1.0,0.0,0.0,3.0,2.0,2.0,2.0,0.0,0.0,2.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0,3.0,1.0,1.0,1.0,3.0,0.0,2.0,0.0,3.0,1.0,0.0,3.0,2.0,2.0,1.0,0.0,14.0,17.0,4.0,14.0,8.0,1.4,1.7,0.4,1.4,0.8,0,0,0,0,0,14.0,17.0,4.0,14.0,8.0,0
93,30143,2.0,1.0,0.0,3.0,3.0,3.0,0.0,0.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,0.0,1.0,0.0,2.0,1.0,2.0,1.0,0.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,3.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,3.0,12.0,18.0,9.0,21.0,10.0,1.2,1.8,0.9,2.1,1.0,0,0,0,0,0,12.0,18.0,9.0,21.0,10.0,0
94,30144,2.0,2.0,0.0,3.0,2.0,2.0,1.0,0.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,2.0,0.0,1.0,0.0,1.0,2.0,2.0,0.0,2.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,3.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,3.0,2.0,2.0,3.0,2.0,1.0,1.0,20.0,18.0,6.0,16.0,16.0,2.0,1.8,0.6,1.6,1.6,0,0,0,0,0,20.0,18.0,6.0,16.0,16.0,0
