PID,ParticipantID,1_ffi_qn0,1_ffi_qn1,1_ffi_qn2,1_ffi_qn3,1_ffi_qn4,1_ffi_qn5,1_ffi_qn6,1_ffi_qn7,1_ffi_qn8,1_ffi_qn9,1_ffi_qn10,2_ffi_qn11,2_ffi_qn12,2_ffi_qn13,2_ffi_qn14,2_ffi_qn15,2_ffi_qn16,2_ffi_qn17,2_ffi_qn18,2_ffi_qn19,2_ffi_qn20,3_ffi_qn21,3_ffi_qn22,3_ffi_qn23,3_ffi_qn24,3_ffi_qn25,3_ffi_qn26,3_ffi_qn27,3_ffi_qn28,3_ffi_qn29,3_ffi_qn30,4_ffi_qn31,4_ffi_qn32,4_ffi_qn33,4_ffi_qn34,4_ffi_qn35,4_ffi_qn36,4_ffi_qn37,4_ffi_qn38,4_ffi_qn39,4_ffi_qn40,5_ffi_qn41,5_ffi_qn42,5_ffi_qn43,5_ffi_qn44,5_ffi_qn45,5_ffi_qn46,5_ffi_qn47,5_ffi_qn48,5_ffi_qn49,5_ffi_qn50,6_ffi_qn51,6_ffi_qn52,6_ffi_qn53,6_ffi_qn54,6_ffi_qn55,6_ffi_qn56,6_ffi_qn57,6_ffi_qn58,6_ffi_qn59,6_ffi_qn60
654ecdc5032921ced44369c6,30000,Neutral,Disagree,Agree,Strongly agree,Strongly agree,Disagree,Disagree,Agree,Strongly disagree,Neutral,Disagree,Disagree,Agree,Strongly disagree,Disagree,Agree,Neutral,Strongly disagree,Agree,Strongly agree,Neutral,Neutral,Strongly disagree,Neutral,Neutral,Disagree,Disagree,Agree,Neutral,Disagree,Neutral,Neutral,Neutral,Agree,Agree,Strongly disagree,Agree,Disagree,Disagree,Agree,Neutral,Neutral,Neutral,Agree,Neutral,Disagree,Agree,Disagree,Strongly disagree,Strongly agree,Agree,Strongly disagree,Agree,Agree,Neutral,Disagree,Neutral,Disagree,Strongly agree,Disagree,Agree
5beee551bae98700018aa45a,30002,Agree,Strongly disagree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Strongly disagree,Agree,Strongly disagree,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,Strongly agree,Strongly agree,Disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Disagree,Neutral,Disagree,Agree,Neutral,Neutral,Agree,Disagree,Strongly disagree,Agree,Neutral,Neutral,Agree,Agree,Strongly disagree,Agree,Agree,Disagree,Neutral,Strongly disagree,Agree,Agree,Disagree,Neutral,Agree,Neutral,Disagree,Agree,Disagree,Neutral,Agree,Disagree
63614a5230a2eb300bf090b5,30004,Disagree,Strongly disagree,Neutral,Strongly agree,Agree,Neutral,Agree,Agree,Strongly disagree,Agree,Agree,Strongly disagree,Agree,Strongly disagree,Disagree,Disagree,Neutral,Neutral,Strongly agree,Strongly agree,Neutral,Strongly disagree,Disagree,Disagree,Agree,Agree,Agree,Strongly agree,Disagree,Neutral,Disagree,Strongly disagree,Strongly disagree,Agree,Agree,Strongly disagree,Neutral,Strongly disagree,Strongly disagree,Agree,Neutral,Disagree,,Strongly agree,Strongly disagree,Agree,Disagree,Strongly disagree,Strongly disagree,Strongly agree,Agree,Strongly disagree,Disagree,Strongly agree,Strongly disagree,Neutral,Agree,Strongly agree,Agree,Strongly disagree,Strongly agree
662f7c3c8a6d815dfe4ce6fb,30005,Strongly disagree,Strongly disagree,Disagree,Agree,Strongly disagree,Agree,Agree,Strongly agree,Disagree,Strongly disagree,Strongly agree,Neutral,Agree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Strongly disagree,Strongly agree,Neutral,Agree,Agree,Strongly agree,Strongly disagree,Strongly agree,Disagree,Agree,Disagree,Strongly disagree,Neutral,Strongly disagree,Strongly disagree,Disagree,Neutral,Agree,Disagree,Agree,Agree,Strongly agree,Disagree,Agree,Disagree,Agree,Strongly disagree,Strongly agree,Strongly agree,Agree,Disagree,Strongly agree,Strongly agree,Strongly agree,Disagree,Agree,Disagree
5cb87813635b940017c2037a,30006,Neutral,Neutral,Neutral,Strongly agree,Strongly agree,Neutral,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Disagree,Strongly disagree,Neutral,Strongly disagree,Strongly disagree,Strongly agree,Agree,Neutral,Neutral,Strongly agree,Strongly disagree,Neutral,Agree,Neutral,Strongly agree,Strongly disagree,Neutral,Strongly disagree,Agree,Strongly disagree,Agree,Disagree,Strongly disagree,Agree,Agree,Strongly disagree,Agree,Strongly disagree,Strongly disagree,Strongly agree,Neutral,Strongly disagree,Strongly disagree,Neutral,Disagree,Strongly disagree,Strongly agree,Strongly disagree,Neutral,Strongly agree,Strongly agree,Strongly disagree,Neutral,Strongly disagree,Neutral,Strongly disagree,Strongly disagree,Neutral,Strongly disagree,Strongly disagree,Neutral
66153d31a8a1502f7f143dfb,30008,Agree,Neutral,Agree,Strongly agree,Agree,Disagree,Agree,Agree,Disagree,Agree,Neutral,Neutral,Agree,Neutral,Disagree,Agree,Agree,Strongly disagree,Agree,Agree,Disagree,Agree,Disagree,Neutral,Agree,Strongly disagree,Neutral,Agree,Neutral,Disagree,Agree,Agree,,Agree,Strongly agree,Neutral,Strongly agree,Strongly disagree,Disagree,Agree,Neutral,Disagree,Disagree,Neutral,Agree,Neutral,Disagree,Agree,Agree,Strongly agree,Strongly agree,Disagree,Strongly agree,Strongly agree,Agree,Disagree,Disagree,Neutral,Neutral,Agree,Strongly agree
660dc1de10dfc100ea46a7bc,30009,Strongly disagree,Agree,Disagree,Strongly agree,Agree,Agree,Strongly agree,Agree,Disagree,Disagree,Agree,Disagree,Agree,Strongly disagree,Neutral,Disagree,Neutral,Agree,Agree,Disagree,Agree,Disagree,Disagree,Agree,Disagree,Agree,Strongly disagree,Disagree,Disagree,Strongly agree,Strongly disagree,Disagree,Strongly disagree,Agree,Disagree,Strongly disagree,Neutral,Strongly disagree,Strongly disagree,Disagree,Neutral,Agree,Neutral,Agree,Agree,Agree,Strongly disagree,Disagree,Disagree,Strongly agree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Agree,Neutral,Agree,Agree,Neutral
663e1b0ea8e2772b1b9d19de,30010,Agree,Strongly agree,Neutral,Neutral,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Neutral,Disagree,Agree,Neutral,Neutral,Disagree,Agree,Agree,Neutral,Neutral,Agree,Disagree,Agree,Strongly agree,Neutral,Agree,Disagree,Neutral,Strongly agree,Strongly agree,Neutral,Neutral,Agree,Agree,Neutral,Agree,Strongly agree,Agree,Neutral,Neutral,Strongly agree,Neutral,Disagree,Neutral,Neutral,Agree,Disagree,Neutral,Neutral,Agree,Neutral,Agree,Disagree,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Neutral,Agree
5e84bd7c34d5d9072128fac1,30011,Strongly disagree,Strongly disagree,Agree,Strongly agree,Agree,Agree,Neutral,Agree,Strongly disagree,Strongly agree,Strongly disagree,Disagree,Neutral,Neutral,Strongly disagree,Strongly agree,Strongly disagree,Disagree,Neutral,Strongly agree,Neutral,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Strongly disagree,Neutral,Neutral,Neutral,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Strongly agree,Neutral,Strongly disagree,Agree,Disagree,Neutral,Strongly disagree,Agree,Strongly disagree,Strongly disagree,Strongly agree,Agree,Disagree,Strongly disagree,Strongly agree,Disagree,Strongly disagree,Neutral,Strongly agree,Strongly agree,Strongly disagree,Agree
64136981aa9af9154f69c8d7,30012,Strongly agree,Agree,Strongly disagree,Strongly agree,Agree,Neutral,Agree,Agree,Strongly disagree,Strongly agree,Strongly disagree,Disagree,Disagree,Strongly disagree,Disagree,Agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Agree,Disagree,Disagree,Neutral,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Disagree,Agree,Agree,Disagree,Agree,Agree,Disagree,Agree,Strongly disagree,Strongly disagree,Strongly agree,Neutral,Strongly disagree,Strongly disagree,Agree,Disagree,Strongly disagree,Agree,Strongly agree,Disagree,Strongly agree,Strongly agree,Strongly disagree,Agree,Agree,Disagree,Strongly disagree,Strongly disagree,Neutral,Agree,Strongly disagree,Agree
63f6ac6d4ce41fa2a87ea79b,30013,Strongly disagree,Agree,Disagree,Strongly agree,Strongly agree,Disagree,Agree,Strongly agree,Disagree,Strongly agree,Agree,Strongly disagree,Neutral,Strongly disagree,Neutral,Agree,Strongly agree,Disagree,Agree,Strongly agree,Disagree,Agree,Agree,Disagree,Agree,Disagree,Strongly disagree,Disagree,Disagree,Disagree,Disagree,Agree,Strongly disagree,Agree,Strongly agree,Disagree,Agree,Neutral,Strongly disagree,Agree,Neutral,Neutral,Disagree,Disagree,Neutral,Strongly disagree,Neutral,Disagree,Disagree,Strongly agree,Strongly agree,Strongly disagree,Agree,Neutral,Disagree,Strongly disagree,Strongly disagree,Neutral,Disagree,Strongly disagree,Agree
63e2d7785f60f12b60826f53,30014,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Disagree,Agree,Disagree,Disagree,Agree,Disagree,Disagree,Agree,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Disagree,Agree,Disagree,Disagree,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Neutral,Disagree,Agree,Neutral,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree
60391940d98e9531249c56a6,30015,Strongly agree,Neutral,Disagree,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Strongly disagree,Strongly disagree,Agree,Neutral,Neutral,Strongly disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Neutral,Disagree,Disagree,Agree,Disagree,Agree,Disagree,Disagree,Disagree,Neutral,Neutral,Disagree,Neutral,Strongly disagree,Disagree,Neutral,Neutral,Agree,Disagree,Strongly disagree,Agree,Disagree,Neutral,Disagree,Disagree,Agree,Neutral,Disagree,Disagree,Agree,Disagree,Neutral,Neutral,Disagree,Disagree,Neutral,Disagree
578fa774160201000104028d,30016,Strongly disagree,Strongly agree,Disagree,Strongly agree,Neutral,Neutral,Strongly agree,Agree,Agree,Strongly disagree,Agree,Neutral,Agree,Neutral,Disagree,Agree,Agree,Strongly disagree,Agree,Agree,Agree,Agree,Strongly disagree,Disagree,Disagree,Disagree,Disagree,Agree,Neutral,Strongly agree,Disagree,Agree,Disagree,Neutral,Agree,Disagree,Strongly agree,Disagree,Strongly disagree,Neutral,Neutral,Agree,Agree,Neutral,Agree,Agree,Disagree,Neutral,Disagree,Strongly agree,Strongly disagree,Disagree,Disagree,Agree,Neutral,Neutral,Disagree,Neutral,Agree,Disagree,Agree
644f255ec4f58fe559261911,30017,Strongly disagree,Strongly disagree,Neutral,Agree,Neutral,Strongly agree,Strongly disagree,Agree,Agree,Disagree,Strongly agree,Agree,Strongly disagree,Agree,Agree,Strongly disagree,Strongly disagree,Disagree,Neutral,Agree,Agree,Strongly disagree,Strongly agree,Strongly agree,Disagree,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Strongly disagree,Strongly disagree,Agree,Strongly disagree,Neutral,Strongly agree,Strongly disagree,Neutral,Agree,Neutral,Neutral,Strongly agree,Strongly agree,Strongly disagree,Agree,Agree,Strongly disagree,Strongly disagree,Strongly agree,Agree,Neutral,Neutral,Strongly disagree,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Disagree,Neutral,Agree
662190146ef67bab626e48cb,30018,Neutral,Disagree,Agree,Strongly agree,Agree,Neutral,Disagree,Agree,Disagree,Agree,Neutral,Disagree,Agree,Disagree,Disagree,Neutral,Disagree,Disagree,Neutral,Neutral,Disagree,Neutral,Disagree,Neutral,Disagree,Neutral,Agree,Neutral,Agree,Neutral,Neutral,Disagree,Neutral,Agree,Agree,Disagree,Disagree,Agree,Disagree,Neutral,Neutral,Disagree,Neutral,Neutral,Neutral,Agree,Neutral,Disagree,Strongly disagree,Agree,Neutral,Agree,Disagree,Agree,Disagree,Disagree,Disagree,Neutral,Agree,Strongly disagree,Agree
5f5f457ae16a900375572c32,30019,Disagree,Disagree,Agree,Agree,Neutral,Strongly agree,Agree,Agree,Disagree,Strongly agree,Disagree,Neutral,Strongly agree,Agree,Disagree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Disagree,Agree,Agree,Disagree,Agree,Strongly agree,Disagree,Agree,Disagree,Agree,Neutral,Disagree,Agree,Agree,Agree,Disagree,Strongly agree,Agree,Agree,Neutral,Disagree,Agree,Disagree,Agree,Disagree,Disagree,Agree,Disagree,Agree,Agree,Disagree,Disagree,Strongly agree,Agree,Disagree,Disagree,Strongly agree,Neutral,Disagree,Agree
5f4738bfa043201203a27b4b,30020,Strongly disagree,Disagree,Strongly disagree,Strongly agree,Agree,Neutral,Agree,Agree,Disagree,Strongly agree,Agree,Neutral,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Neutral,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Neutral,Neutral,Disagree,Agree,Agree,Agree,Agree,Strongly disagree,Disagree,Strongly disagree,Neutral,Disagree,Strongly agree,Agree,Disagree,Disagree,Strongly disagree,Strongly disagree,Strongly agree,Neutral,Neutral,Strongly agree,Neutral,Neutral,Disagree,Strongly disagree,Disagree,Strongly disagree,Strongly agree,Strongly agree,Neutral,Neutral,Strongly agree,Strongly disagree,Strongly disagree,Agree,Agree,Strongly agree,Strongly disagree,Agree
652408b110c19343a504c45a,30022,Agree,Disagree,Agree,Agree,Neutral,Disagree,Agree,Agree,Disagree,Agree,Disagree,Disagree,Agree,Disagree,Disagree,Neutral,Neutral,Disagree,Agree,Agree,Strongly disagree,Neutral,Neutral,Disagree,Agree,Disagree,Disagree,Neutral,Disagree,Disagree,Agree,Neutral,Disagree,Agree,Agree,Disagree,Neutral,Disagree,Disagree,Neutral,Neutral,Disagree,Disagree,Neutral,Neutral,Disagree,Agree,Neutral,Neutral,Agree,Agree,Disagree,Neutral,Agree,Neutral,Neutral,Disagree,Disagree,Neutral,Disagree,Neutral
60ddfe929fff846f04cd2c95,30024,Disagree,Agree,Disagree,Strongly agree,Neutral,Neutral,Agree,Strongly agree,Strongly disagree,Agree,Disagree,Strongly disagree,Agree,Disagree,Neutral,Neutral,Agree,Disagree,Agree,Agree,Disagree,Agree,Strongly disagree,Neutral,Agree,Strongly disagree,Neutral,Strongly agree,Disagree,Disagree,Agree,Agree,Neutral,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Agree,Strongly disagree,Strongly agree,Neutral,Disagree,Strongly disagree,Strongly agree,Neutral,Strongly disagree,Agree,Agree,Strongly disagree,Strongly agree,Agree,Strongly disagree,Neutral,Agree,Neutral,Strongly disagree,Strongly disagree,Neutral,Agree,Disagree,Strongly agree
