PID,ParticipantID,1_ffi_qn0,1_ffi_qn1,1_ffi_qn2,1_ffi_qn3,1_ffi_qn4,1_ffi_qn5,1_ffi_qn6,1_ffi_qn7,1_ffi_qn8,1_ffi_qn9,1_ffi_qn10,2_ffi_qn11,2_ffi_qn12,2_ffi_qn13,2_ffi_qn14,2_ffi_qn15,2_ffi_qn16,2_ffi_qn17,2_ffi_qn18,2_ffi_qn19,2_ffi_qn20,3_ffi_qn21,3_ffi_qn22,3_ffi_qn23,3_ffi_qn24,3_ffi_qn25,3_ffi_qn26,3_ffi_qn27,3_ffi_qn28,3_ffi_qn29,3_ffi_qn30,4_ffi_qn31,4_ffi_qn32,4_ffi_qn33,4_ffi_qn34,4_ffi_qn35,4_ffi_qn36,4_ffi_qn37,4_ffi_qn38,4_ffi_qn39,4_ffi_qn40,5_ffi_qn41,5_ffi_qn42,5_ffi_qn43,5_ffi_qn44,5_ffi_qn45,5_ffi_qn46,5_ffi_qn47,5_ffi_qn48,5_ffi_qn49,5_ffi_qn50,6_ffi_qn51,6_ffi_qn52,6_ffi_qn53,6_ffi_qn54,6_ffi_qn55,6_ffi_qn56,6_ffi_qn57,6_ffi_qn58,6_ffi_qn59,6_ffi_qn60
660abfd1b4f90c39abdfb887,30025,Neutral,Agree,Agree,Neutral,Strongly agree,Neutral,Agree,Agree,Disagree,,Neutral,Neutral,Neutral,Disagree,Neutral,Disagree,Agree,Neutral,Neutral,Neutral,Agree,Agree,Neutral,Neutral,Agree,Disagree,Neutral,Agree,Agree,Agree,Neutral,Neutral,Neutral,Agree,Agree,Agree,Agree,Neutral,Neutral,Agree,Neutral,Disagree,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Strongly disagree,Strongly agree,Agree,Disagree,Disagree,Neutral,Disagree,Neutral,Disagree,Neutral
65584073cce140ca87d895ff,30026,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Strongly disagree,Neutral,Neutral,Strongly disagree,Agree,Strongly disagree,Neutral,Neutral,Strongly disagree,Neutral,Strongly agree,Strongly agree,Disagree,Neutral,Strongly agree,Strongly disagree,Disagree,Neutral,Disagree,Agree,Strongly disagree,Neutral,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Neutral,Strongly disagree,Agree,Strongly agree,Strongly disagree,Agree,Neutral,Strongly disagree,Neutral,Neutral,Strongly disagree,Strongly disagree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Neutral,Strongly disagree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Neutral,Strongly disagree,Agree
62a96f8f6ab7e0c3ce90095f,30027,Agree,Neutral,Disagree,Strongly agree,Strongly agree,Strongly disagree,Agree,Neutral,Strongly disagree,Strongly agree,Strongly disagree,Disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Disagree,Agree,Strongly agree,Strongly disagree,Agree,Disagree,Strongly disagree,Strongly agree,Strongly disagree,Neutral,Agree,Disagree,Strongly disagree,Agree,Agree,Disagree,Neutral,Strongly agree,Strongly disagree,Agree,Neutral,Disagree,Agree,Neutral,Strongly disagree,Strongly disagree,Agree,Disagree,Strongly disagree,Agree,Agree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Agree,Strongly agree,Neutral,Strongly disagree,Disagree,Neutral,Strongly agree,Strongly disagree,Agree
60fcf15d6f86ffc5de817be3,30028,Strongly disagree,Disagree,Neutral,Strongly agree,Agree,Disagree,Neutral,Agree,Disagree,Agree,Strongly agree,Neutral,Strongly agree,Disagree,Neutral,Disagree,Disagree,Agree,Neutral,Strongly agree,Disagree,Disagree,Strongly agree,Neutral,Neutral,Agree,Agree,Strongly disagree,Neutral,Neutral,Strongly disagree,Strongly disagree,Disagree,Agree,Agree,Neutral,Disagree,Strongly disagree,Disagree,Agree,Neutral,Agree,Agree,Disagree,Neutral,Disagree,Disagree,Neutral,Disagree,Strongly agree,Agree,Agree,Disagree,Agree,Strongly disagree,Disagree,Agree,Strongly agree,Agree,Disagree,Agree
64527892acde0fbd392a41d6,30029,Agree,Disagree,Agree,Strongly agree,Strongly agree,Strongly disagree,Agree,Agree,Strongly disagree,Strongly agree,Strongly disagree,Disagree,Neutral,Strongly disagree,Disagree,Agree,Agree,Neutral,Agree,Agree,Strongly disagree,Neutral,Agree,Disagree,Agree,Strongly disagree,Agree,Strongly disagree,Disagree,Disagree,Strongly agree,Disagree,Disagree,Agree,Agree,Strongly disagree,Strongly agree,Neutral,Strongly disagree,Strongly agree,Neutral,Disagree,Strongly disagree,Neutral,Strongly disagree,Strongly disagree,Strongly agree,Disagree,Neutral,Strongly agree,Agree,Strongly disagree,Agree,Agree,Neutral,Disagree,Disagree,Neutral,Neutral,Strongly disagree,Strongly agree
5e2f121d76887c011b5ec6c4,30030,Disagree,Disagree,Agree,Agree,Agree,Neutral,Neutral,Agree,Neutral,Neutral,Neutral,Neutral,Strongly agree,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Strongly agree,Neutral,Agree,Agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Neutral,Neutral,Agree,Agree,Neutral,Neutral,Neutral,Agree,Agree,Neutral,Neutral,Agree,Neutral,Agree,Neutral,Disagree,Neutral,Disagree,Agree,Agree,Neutral,Agree,Strongly agree,Strongly agree,Disagree,Agree,Neutral,Agree,Neutral,Agree
5c73d2817ed3a70001fc2929,30031,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Strongly agree,Agree,Disagree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Disagree,Neutral,Strongly agree,Strongly disagree,Disagree,Strongly disagree,Strongly agree,Agree,Strongly agree,Strongly disagree,Strongly disagree,Agree,Strongly disagree,Strongly agree,Agree,Disagree,Agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Agree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Neutral,Strongly agree,Strongly agree,Neutral,Disagree,Agree,Disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Agree,Strongly agree,Neutral,Agree,Agree
5a04869ff2e3460001edad2e,30032,Strongly disagree,Neutral,Strongly disagree,Agree,Agree,Agree,Strongly agree,Strongly agree,Strongly disagree,Disagree,Agree,Strongly disagree,Strongly agree,Disagree,Agree,Disagree,Neutral,Strongly disagree,Strongly agree,Agree,Agree,Neutral,Disagree,Disagree,Strongly disagree,Agree,Agree,Strongly disagree,Disagree,Strongly agree,Disagree,Disagree,Strongly disagree,Agree,Agree,Strongly disagree,Neutral,Disagree,Disagree,Agree,Neutral,Disagree,Disagree,Strongly agree,Agree,Agree,Disagree,Strongly disagree,Strongly disagree,Agree,Disagree,Agree,Disagree,Agree,Strongly disagree,Agree,Agree,Agree,Strongly agree,Strongly disagree,Disagree
663db82261bdd51955c4f5a3,30033,Strongly agree,Neutral,Strongly agree,Agree,Agree,Strongly disagree,Strongly agree,Agree,Strongly disagree,Strongly agree,Neutral,Strongly disagree,Agree,Agree,Neutral,Neutral,Agree,Agree,Agree,Strongly agree,Strongly disagree,Agree,Neutral,Agree,Neutral,Disagree,Neutral,Agree,Agree,Disagree,Agree,Neutral,Neutral,Agree,Strongly agree,Strongly disagree,Strongly agree,Neutral,Strongly disagree,Agree,Neutral,Strongly agree,Strongly disagree,Neutral,Disagree,Disagree,Disagree,Neutral,Neutral,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Agree,Neutral,Strongly disagree,Disagree,Disagree,Neutral,Strongly disagree,Strongly agree
63653d622710a591f401a6be,30034,Disagree,Agree,Disagree,Agree,Agree,Agree,Strongly agree,Agree,Strongly disagree,Agree,Agree,Strongly disagree,Agree,Disagree,,Agree,Strongly agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Neutral,Agree,Disagree,Disagree,Strongly agree,Neutral,Agree,Disagree,Agree,Neutral,Agree,Neutral,Disagree,Agree,Strongly disagree,Strongly disagree,Agree,Neutral,Disagree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Disagree,Agree,Agree,Disagree,Neutral,Agree,Disagree,Disagree,Strongly disagree,Disagree,Neutral,Agree,Neutral
5f280d1533b5cf085a06e2ad,30035,Strongly disagree,Agree,Strongly disagree,Agree,Neutral,Agree,Agree,Agree,Strongly disagree,Disagree,Neutral,Disagree,Agree,Strongly disagree,Disagree,Disagree,Agree,Disagree,Agree,Agree,Neutral,Agree,Strongly disagree,Disagree,Disagree,Neutral,Disagree,Strongly agree,Disagree,Strongly agree,Disagree,Agree,Strongly disagree,Agree,Neutral,Strongly disagree,Agree,Strongly disagree,Strongly disagree,Disagree,Neutral,Neutral,Disagree,Strongly agree,Disagree,Agree,Disagree,Neutral,Disagree,Strongly agree,Neutral,Disagree,Strongly agree,Agree,Disagree,Agree,Neutral,Neutral,Agree,Agree,Agree
6641c7c4528c12eede302d14,30036,Strongly disagree,Agree,Disagree,Strongly agree,Agree,Agree,Disagree,Neutral,Disagree,Agree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Agree,Neutral,Agree,Agree,Neutral,Neutral,Neutral,Agree,Agree,Neutral,Disagree,Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Strongly agree,Neutral,Agree,Disagree,Disagree,Agree,Neutral,Strongly disagree,Neutral,Neutral,Neutral,Disagree,Neutral,Neutral,Disagree,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Agree,Strongly disagree,Agree,Neutral,Agree,Disagree,Strongly agree
5cba676b16ab74001672d70f,30037,Disagree,Neutral,Strongly agree,Strongly agree,Agree,Strongly disagree,Neutral,Agree,Disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Agree,Neutral,Strongly disagree,Strongly disagree,Neutral,Strongly agree,Disagree,Agree,Strongly disagree,Agree,Strongly agree,Disagree,Neutral,Strongly agree,Neutral,Disagree,Disagree,Agree,Strongly disagree,Strongly agree,Strongly agree,Disagree,Strongly agree,Disagree,Strongly disagree,Strongly agree,Neutral,Strongly disagree,Strongly disagree,Strongly agree,Disagree,Strongly disagree,Disagree,Strongly agree,Disagree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Disagree,Disagree,Neutral,Strongly agree,Strongly disagree,Strongly agree
66191b9dfe3a622cea867178,30038,Strongly agree,Disagree,Strongly agree,Agree,Neutral,Disagree,Strongly agree,Strongly agree,Neutral,Strongly agree,Agree,Disagree,Strongly agree,Strongly disagree,Neutral,Disagree,Agree,Agree,Disagree,Strongly agree,Disagree,Strongly agree,Disagree,Agree,Strongly agree,Disagree,Neutral,Agree,Strongly agree,Disagree,Disagree,Strongly agree,Strongly agree,Strongly agree,Agree,Neutral,Strongly agree,Disagree,Strongly disagree,Agree,Neutral,Agree,Disagree,Agree,Disagree,Neutral,Disagree,Agree,Disagree,Strongly agree,Strongly agree,Disagree,Strongly agree,Strongly agree,Strongly agree,Disagree,Agree,Disagree,Strongly agree,Agree,Strongly agree
65845f67f9ed8c08c8e58949,30039,Disagree,Disagree,Neutral,Strongly agree,Disagree,Agree,Neutral,Agree,Strongly disagree,Disagree,Agree,Disagree,Neutral,Strongly disagree,Agree,Strongly disagree,Agree,Disagree,Strongly agree,Agree,Agree,Neutral,Disagree,Strongly disagree,Neutral,Strongly agree,Agree,Neutral,Agree,Neutral,Strongly disagree,Disagree,Disagree,Disagree,Agree,Neutral,Strongly disagree,Disagree,Strongly disagree,Disagree,Neutral,Strongly agree,Agree,Neutral,Strongly disagree,Agree,Strongly disagree,Neutral,Neutral,Strongly agree,Neutral,Agree,Disagree,Agree,Strongly disagree,Agree,Strongly agree,Neutral,Agree,Strongly disagree,Disagree
66339e69096405b36663468b,30040,Strongly agree,Disagree,Agree,Strongly agree,Agree,Disagree,Agree,Agree,Neutral,Agree,Disagree,Strongly disagree,Agree,Strongly disagree,Neutral,Agree,Neutral,Neutral,Agree,Strongly agree,Disagree,Agree,Disagree,Agree,Agree,Strongly disagree,Agree,Strongly agree,Agree,Disagree,Disagree,Strongly agree,Disagree,Agree,Strongly agree,Neutral,Neutral,Strongly agree,Disagree,Agree,Neutral,Strongly disagree,Strongly disagree,Agree,Agree,Strongly disagree,Strongly agree,Disagree,Agree,Strongly agree,Strongly agree,Disagree,Strongly agree,Strongly agree,Disagree,Disagree,Strongly disagree,Disagree,Neutral,Disagree,Strongly agree
5f280cc370354e08a8f2895c,30041,Disagree,Agree,Neutral,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Neutral,Agree,Strongly agree,Strongly disagree,Agree,Disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Disagree,Strongly disagree,Strongly agree,Strongly agree,Disagree,Strongly agree,Strongly agree,Disagree,Strongly agree,Neutral,Strongly disagree,Strongly agree,Neutral,Strongly disagree,Strongly disagree,Neutral,Disagree,Disagree,Strongly agree,Agree,Disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Neutral,Strongly disagree,Strongly disagree,Neutral,Neutral,Strongly disagree,Strongly agree
63d9f41910c61f3eb102079f,30042,Strongly disagree,Strongly disagree,Disagree,Agree,Agree,Neutral,Strongly disagree,Strongly agree,Strongly disagree,Agree,Neutral,Agree,Neutral,Disagree,Disagree,Disagree,Strongly disagree,Disagree,Neutral,Agree,Neutral,Disagree,Agree,Agree,Agree,Agree,Agree,Strongly disagree,Agree,Neutral,Strongly disagree,Strongly disagree,Disagree,Agree,Neutral,Neutral,Strongly disagree,Neutral,Disagree,Neutral,Neutral,Agree,Strongly agree,Disagree,Disagree,Neutral,Disagree,Neutral,Neutral,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,Neutral,Neutral,Strongly disagree,Neutral
662d8e525d53b0503c77995d,30043,Agree,Neutral,Neutral,Agree,Agree,Neutral,Strongly agree,Strongly agree,Disagree,Neutral,Agree,Disagree,Agree,Neutral,Neutral,Agree,Agree,Strongly agree,Neutral,Agree,Disagree,Strongly agree,Neutral,Disagree,Agree,Neutral,Neutral,Neutral,Agree,Disagree,Agree,Agree,Neutral,Agree,Agree,Neutral,Agree,Agree,Neutral,Agree,Neutral,Agree,Disagree,Agree,Neutral,Neutral,Neutral,Neutral,Agree,Strongly agree,Agree,Disagree,Agree,Agree,Neutral,Disagree,Agree,Neutral,Neutral,Neutral,Agree
66083f910aeb017b4edee86f,30044,Neutral,Neutral,Strongly agree,Agree,Strongly agree,Strongly disagree,Agree,Agree,Neutral,Agree,Disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Agree,Agree,Strongly disagree,Neutral,Strongly agree,Strongly disagree,Agree,Disagree,Neutral,Strongly agree,Strongly disagree,Agree,Agree,Agree,Disagree,Agree,Agree,Strongly disagree,Agree,Strongly agree,Strongly disagree,Agree,Agree,Neutral,Agree,Neutral,Strongly disagree,Strongly disagree,Agree,Neutral,Strongly disagree,Strongly disagree,Neutral,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Agree,Strongly agree,Neutral,Strongly disagree,Strongly disagree,Disagree,Strongly agree,Neutral,Strongly agree
6536d136cb5b206227cf43f1,30045,Neutral,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Disagree,Neutral,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Disagree,Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Disagree,Agree
6000cefee380e61fa9bc5ae4,30046,Disagree,Neutral,Strongly disagree,Agree,Strongly agree,Neutral,Agree,Agree,Disagree,Strongly disagree,Disagree,Disagree,Strongly agree,Disagree,Disagree,Disagree,Agree,Disagree,Agree,Agree,Disagree,Neutral,Disagree,Agree,Neutral,Agree,Neutral,Neutral,Agree,Agree,Disagree,Disagree,Disagree,Agree,Neutral,Disagree,Neutral,Disagree,Disagree,Agree,Neutral,Agree,Agree,Agree,Disagree,Agree,Disagree,Strongly disagree,Strongly disagree,Agree,Disagree,Neutral,Disagree,Strongly agree,Neutral,Strongly disagree,Neutral,Agree,Agree,Agree,Agree
