PID,ParticipantID,1_PANAS_qn0,1_PANAS_qn1,1_PANAS_qn2,1_PANAS_qn3,1_PANAS_qn4,1_PANAS_qn5,1_PANAS_qn6,1_PANAS_qn7,1_PANAS_qn8,1_PANAS_qn9,2_PANAS_qn10,2_PANAS_qn11,2_PANAS_qn12,2_PANAS_qn13,2_PANAS_qn14,2_PANAS_qn15,2_PANAS_qn16,2_PANAS_qn17,2_PANAS_qn18,2_PANAS_qn19,2_PANAS_qn20
654ecdc5032921ced44369c6,30000,Extremely,Very slightly or not at all ,Moderately,Extremely,A little,Quite a bit,A little,Very slightly or not at all ,Very slightly or not at all ,Extremely,Moderately,A little,Moderately,Very slightly or not at all ,Quite a bit,A little,Quite a bit,Extremely,Very slightly or not at all ,Quite a bit,Very slightly or not at all 
5beee551bae98700018aa45a,30002,Moderately,Very slightly or not at all ,Moderately,Extremely,Very slightly or not at all ,Very slightly or not at all ,Very slightly or not at all ,Very slightly or not at all ,Very slightly or not at all ,Quite a bit,Very slightly or not at all ,Very slightly or not at all ,Quite a bit,Very slightly or not at all ,Moderately,Very slightly or not at all ,Quite a bit,Quite a bit,Very slightly or not at all ,Moderately,Very slightly or not at all 
63614a5230a2eb300bf090b5,30004,Quite a bit,A little,A little,Extremely,A little,Moderately,A little,Very slightly or not at all ,Very slightly or not at all ,Quite a bit,Moderately,A little,Quite a bit,Moderately,Extremely,Quite a bit,Moderately,Extremely,Moderately,A little,Very slightly or not at all 
662f7c3c8a6d815dfe4ce6fb,30005,A little,Moderately,Quite a bit,Extremely,Quite a bit,Quite a bit,A little,Quite a bit,A little,Quite a bit,A little,Quite a bit,A little,A little,A little,Quite a bit,Moderately,Moderately,A little,Quite a bit,Quite a bit
5cb87813635b940017c2037a,30006,Quite a bit,Very slightly or not at all ,Quite a bit,Extremely,Very slightly or not at all ,A little,Very slightly or not at all ,Very slightly or not at all ,Very slightly or not at all ,Moderately,Moderately,Very slightly or not at all ,Quite a bit,Very slightly or not at all ,Moderately,Very slightly or not at all ,Quite a bit,Quite a bit,Very slightly or not at all ,Quite a bit,Very slightly or not at all 
66153d31a8a1502f7f143dfb,30008,Extremely,A little,Moderately,Extremely,Very slightly or not at all ,Moderately,Very slightly or not at all ,Very slightly or not at all ,Very slightly or not at all ,Quite a bit,Moderately,A little,Quite a bit,Very slightly or not at all ,Quite a bit,A little,Quite a bit,Quite a bit,Very slightly or not at all ,Quite a bit,A little
660dc1de10dfc100ea46a7bc,30009,Moderately,A little,Moderately,Extremely,Moderately,A little,A little,A little,A little,Moderately,A little,Quite a bit,Quite a bit,A little,Quite a bit,Quite a bit,A little,Moderately,Moderately,A little,Moderately
663e1b0ea8e2772b1b9d19de,30010,Quite a bit,A little,Moderately,Extremely,Very slightly or not at all ,Quite a bit,A little,A little,Moderately,Quite a bit,Extremely,Moderately,Extremely,A little,Quite a bit,A little,Quite a bit,Moderately,A little,Moderately,A little
5e84bd7c34d5d9072128fac1,30011,Quite a bit,Very slightly or not at all ,Very slightly or not at all ,Extremely,Very slightly or not at all ,A little,Very slightly or not at all ,Very slightly or not at all ,Very slightly or not at all ,Very slightly or not at all ,Very slightly or not at all ,A little,Quite a bit,Very slightly or not at all ,Moderately,Very slightly or not at all ,A little,Extremely,Very slightly or not at all ,A little,Very slightly or not at all 
64136981aa9af9154f69c8d7,30012,Moderately,Very slightly or not at all ,A little,,Very slightly or not at all ,Moderately,Very slightly or not at all ,Very slightly or not at all ,Very slightly or not at all ,Moderately,A little,A little,Moderately,Very slightly or not at all ,A little,A little,Moderately,Moderately,Very slightly or not at all ,Moderately,Very slightly or not at all 
63f6ac6d4ce41fa2a87ea79b,30013,Quite a bit,A little,Quite a bit,Extremely,A little,Quite a bit,Very slightly or not at all ,Very slightly or not at all ,Very slightly or not at all ,Quite a bit,Extremely,A little,Quite a bit,Very slightly or not at all ,Quite a bit,A little,Extremely,Extremely,Very slightly or not at all ,Quite a bit,Very slightly or not at all 
63e2d7785f60f12b60826f53,30014,Moderately,Very slightly or not at all ,A little,Extremely,Very slightly or not at all ,Moderately,Very slightly or not at all ,Very slightly or not at all ,Very slightly or not at all ,A little,Moderately,Very slightly or not at all ,Moderately,Very slightly or not at all ,Moderately,Very slightly or not at all ,Moderately,Moderately,Very slightly or not at all ,Moderately,Very slightly or not at all 
60391940d98e9531249c56a6,30015,Moderately,Very slightly or not at all ,A little,Extremely,Very slightly or not at all ,Very slightly or not at all ,Very slightly or not at all ,Very slightly or not at all ,Very slightly or not at all ,A little,Very slightly or not at all ,A little,A little,Very slightly or not at all ,Very slightly or not at all ,Very slightly or not at all ,Very slightly or not at all ,A little,Very slightly or not at all ,A little,Very slightly or not at all 
578fa774160201000104028d,30016,Quite a bit,Very slightly or not at all ,Moderately,Extremely,A little,Quite a bit,A little,Very slightly or not at all ,A little,Quite a bit,Moderately,A little,Moderately,Very slightly or not at all ,Moderately,A little,A little,Moderately,Moderately,Moderately,Very slightly or not at all 
644f255ec4f58fe559261911,30017,Very slightly or not at all ,Extremely,Very slightly or not at all ,Extremely,Extremely,Very slightly or not at all ,Extremely,Extremely,Moderately,Very slightly or not at all ,Very slightly or not at all ,Quite a bit,Very slightly or not at all ,Extremely,Very slightly or not at all ,Quite a bit,Very slightly or not at all ,Very slightly or not at all ,Moderately,Very slightly or not at all ,Quite a bit
662190146ef67bab626e48cb,30018,A little,Very slightly or not at all ,A little,Extremely,Very slightly or not at all ,A little,Very slightly or not at all ,Very slightly or not at all ,Very slightly or not at all ,A little,Moderately,Moderately,Moderately,Very slightly or not at all ,A little,Very slightly or not at all ,Moderately,Quite a bit,Very slightly or not at all ,Moderately,Very slightly or not at all 
5f5f457ae16a900375572c32,30019,Quite a bit,A little,Moderately,Extremely,A little,Moderately,Very slightly or not at all ,Very slightly or not at all ,A little,Moderately,A little,A little,Moderately,A little,Moderately,Very slightly or not at all ,A little,Moderately,Moderately,A little,Very slightly or not at all 
5f4738bfa043201203a27b4b,30020,Moderately,Moderately,A little,Extremely,A little,A little,A little,Very slightly or not at all ,Very slightly or not at all ,A little,A little,Moderately,Quite a bit,A little,A little,Quite a bit,A little,Moderately,Moderately,Moderately,Very slightly or not at all 
652408b110c19343a504c45a,30022,Quite a bit,Very slightly or not at all ,Moderately,Extremely,Very slightly or not at all ,Moderately,Very slightly or not at all ,Very slightly or not at all ,Very slightly or not at all ,Moderately,A little,Very slightly or not at all ,Extremely,Very slightly or not at all ,A little,Very slightly or not at all ,Moderately,Extremely,Very slightly or not at all ,Quite a bit,Very slightly or not at all 
60ddfe929fff846f04cd2c95,30024,Moderately,A little,Moderately,Extremely,Very slightly or not at all ,Moderately,Very slightly or not at all ,A little,Very slightly or not at all ,Moderately,Moderately,Very slightly or not at all ,Moderately,Very slightly or not at all ,,Very slightly or not at all ,Moderately,Moderately,Very slightly or not at all ,Moderately,A little
660abfd1b4f90c39abdfb887,30025,Extremely,Moderately,Quite a bit,Extremely,Very slightly or not at all ,Extremely,Very slightly or not at all ,Very slightly or not at all ,Moderately,Very slightly or not at all ,Extremely,Very slightly or not at all ,Extremely,Very slightly or not at all ,Quite a bit,A little,Extremely,Extremely,Very slightly or not at all ,Extremely,Very slightly or not at all 
65584073cce140ca87d895ff,30026,Quite a bit,A little,A little,Extremely,Very slightly or not at all ,Quite a bit,Very slightly or not at all ,Very slightly or not at all ,Very slightly or not at all ,Extremely,Extremely,Very slightly or not at all ,Very slightly or not at all ,Very slightly or not at all ,Quite a bit,Very slightly or not at all ,Extremely,Moderately,Very slightly or not at all ,Very slightly or not at all ,Very slightly or not at all 
62a96f8f6ab7e0c3ce90095f,30027,Moderately,Very slightly or not at all ,Quite a bit,Extremely,Very slightly or not at all ,Moderately,Very slightly or not at all ,Very slightly or not at all ,Very slightly or not at all ,Extremely,Moderately,Very slightly or not at all ,A little,Very slightly or not at all ,Quite a bit,Very slightly or not at all ,Extremely,Quite a bit,Very slightly or not at all ,Quite a bit,Very slightly or not at all 
60fcf15d6f86ffc5de817be3,30028,A little,Moderately,Very slightly or not at all ,Extremely,A little,Very slightly or not at all ,Very slightly or not at all ,Moderately,A little,A little,Very slightly or not at all ,Moderately,A little,Very slightly or not at all ,Very slightly or not at all ,Quite a bit,A little,Moderately,Very slightly or not at all ,Very slightly or not at all ,Moderately
64527892acde0fbd392a41d6,30029,Quite a bit,Very slightly or not at all ,Quite a bit,Extremely,Very slightly or not at all ,Quite a bit,Very slightly or not at all ,Very slightly or not at all ,Very slightly or not at all ,Quite a bit,Moderately,Very slightly or not at all ,Quite a bit,Very slightly or not at all ,Quite a bit,Very slightly or not at all ,Quite a bit,Quite a bit,Very slightly or not at all ,Moderately,Very slightly or not at all 
5e2f121d76887c011b5ec6c4,30030,Moderately,A little,Moderately,Extremely,A little,Moderately,Moderately,A little,A little,Moderately,A little,Moderately,A little,A little,Moderately,A little,Moderately,A little,A little,Moderately,A little
5c73d2817ed3a70001fc2929,30031,Quite a bit,Quite a bit,Very slightly or not at all ,Extremely,Moderately,Very slightly or not at all ,A little,A little,A little,A little,A little,Quite a bit,Moderately,A little,Moderately,Quite a bit,Moderately,A little,Quite a bit,Very slightly or not at all ,A little
5a04869ff2e3460001edad2e,30032,Moderately,A little,Very slightly or not at all ,Extremely,A little,Moderately,A little,A little,Very slightly or not at all ,Moderately,A little,A little,Moderately,A little,Moderately,A little,Moderately,Quite a bit,A little,Moderately,A little
663db82261bdd51955c4f5a3,30033,Moderately,Very slightly or not at all ,Quite a bit,Extremely,Very slightly or not at all ,Extremely,Very slightly or not at all ,Very slightly or not at all ,Very slightly or not at all ,Quite a bit,A little,Very slightly or not at all ,A little,Very slightly or not at all ,Quite a bit,Very slightly or not at all ,Extremely,Moderately,Very slightly or not at all ,Quite a bit,Very slightly or not at all 
63653d622710a591f401a6be,30034,Moderately,A little,Quite a bit,Extremely,Very slightly or not at all ,A little,Very slightly or not at all ,Very slightly or not at all ,Very slightly or not at all ,Quite a bit,Quite a bit,Moderately,Quite a bit,Very slightly or not at all ,Quite a bit,Moderately,Quite a bit,Quite a bit,A little,Quite a bit,A little
5f280d1533b5cf085a06e2ad,30035,Quite a bit,Very slightly or not at all ,Quite a bit,Extremely,A little,Quite a bit,A little,Very slightly or not at all ,Very slightly or not at all ,Quite a bit,Moderately,Moderately,Quite a bit,A little,Quite a bit,A little,Quite a bit,Quite a bit,A little,Quite a bit,Very slightly or not at all 
6641c7c4528c12eede302d14,30036,Quite a bit,Moderately,Quite a bit,Extremely,Moderately,Moderately,Moderately,Quite a bit,Very slightly or not at all ,Moderately,,A little,A little,A little,Moderately,Quite a bit,Quite a bit,Quite a bit,Quite a bit,Quite a bit,Quite a bit
5cba676b16ab74001672d70f,30037,Extremely,A little,Extremely,Extremely,A little,Extremely,Very slightly or not at all ,A little,Very slightly or not at all ,Extremely,Extremely,Moderately,Extremely,Very slightly or not at all ,Extremely,A little,Extremely,Extremely,Very slightly or not at all ,Quite a bit,Very slightly or not at all 
66191b9dfe3a622cea867178,30038,Quite a bit,Very slightly or not at all ,Extremely,Extremely,A little,Extremely,Very slightly or not at all ,Very slightly or not at all ,A little,Extremely,Moderately,A little,Extremely,Very slightly or not at all ,Extremely,Quite a bit,Extremely,Extremely,Moderately,Extremely,Very slightly or not at all 
65845f67f9ed8c08c8e58949,30039,Moderately,Quite a bit,Moderately,Extremely,Quite a bit,A little,Moderately,Quite a bit,A little,Moderately,A little,Quite a bit,Moderately,Quite a bit,A little,Quite a bit,Moderately,A little,Moderately,A little,Moderately
66339e69096405b36663468b,30040,Extremely,Very slightly or not at all ,Quite a bit,Extremely,Very slightly or not at all ,Extremely,Very slightly or not at all ,Very slightly or not at all ,Very slightly or not at all ,Extremely,Moderately,Very slightly or not at all ,Extremely,Very slightly or not at all ,Extremely,Quite a bit,Extremely,Extremely,Very slightly or not at all ,Extremely,Very slightly or not at all 
5f280cc370354e08a8f2895c,30041,Extremely,Very slightly or not at all ,Quite a bit,Extremely,Very slightly or not at all ,Extremely,Very slightly or not at all ,Very slightly or not at all ,Very slightly or not at all ,Extremely,Quite a bit,A little,Extremely,Very slightly or not at all ,Quite a bit,Very slightly or not at all ,Extremely,Extremely,Very slightly or not at all ,Extremely,Very slightly or not at all 
63d9f41910c61f3eb102079f,30042,Moderately,A little,Very slightly or not at all ,Extremely,Very slightly or not at all ,Moderately,Very slightly or not at all ,Very slightly or not at all ,Very slightly or not at all ,Very slightly or not at all ,Very slightly or not at all ,Moderately,Quite a bit,A little,Very slightly or not at all ,Moderately,Moderately,Quite a bit,A little,Quite a bit,A little
662d8e525d53b0503c77995d,30043,Quite a bit,Very slightly or not at all ,Quite a bit,Extremely,Very slightly or not at all ,Moderately,Very slightly or not at all ,Very slightly or not at all ,Very slightly or not at all ,Moderately,Moderately,Moderately,Quite a bit,Very slightly or not at all ,Quite a bit,A little,Quite a bit,Moderately,Very slightly or not at all ,Quite a bit,A little
66083f910aeb017b4edee86f,30044,Extremely,A little,Quite a bit,Extremely,Very slightly or not at all ,Extremely,Very slightly or not at all ,Very slightly or not at all ,Very slightly or not at all ,Quite a bit,Extremely,A little,Extremely,Very slightly or not at all ,Extremely,Very slightly or not at all ,Extremely,Extremely,Very slightly or not at all ,Quite a bit,Very slightly or not at all 
6536d136cb5b206227cf43f1,30045,Moderately,Very slightly or not at all ,Quite a bit,Extremely,Very slightly or not at all ,Quite a bit,Very slightly or not at all ,Very slightly or not at all ,Very slightly or not at all ,A little,Very slightly or not at all ,Very slightly or not at all ,Quite a bit,Very slightly or not at all ,Quite a bit,Moderately,Moderately,Quite a bit,Quite a bit,Extremely,Moderately
6000cefee380e61fa9bc5ae4,30046,Moderately,A little,A little,Extremely,A little,Very slightly or not at all ,A little,Very slightly or not at all ,A little,A little,Very slightly or not at all ,A little,Moderately,Very slightly or not at all ,A little,A little,A little,Quite a bit,Very slightly or not at all ,Very slightly or not at all ,Very slightly or not at all 
