,index,sub_ind,PID,date,stimset_rows,total_trials,nplanned_trialIDs,npresented_trialIDs,planned_trialIDs_all,presented_trialIDs_all,subtlety,subtlety_sorted,pred_color,pred_pos,responses,agents_type,strategy,feedback
29,29,15029,5faabf015d179148d09aa825,13,29,48,7,7,"['75182d69-6502-4d35-9298-e331061c7829', '0a730462-ba50-4dbe-97c6-911f61a40346', '249089b6-ef6d-4ddb-973d-6d7b9d53baf8', '1841b8a9-ff1d-481d-80de-2134f2461e8b', '3d2cbd5f-05d3-4457-8c01-5b302d4c5de7', '14f7fa8d-a7a5-4171-bdbf-8a076fb08d9c', '0ea53c63-8350-4a50-8dec-ccbbf0e401dc']","['14f7fa8d-a7a5-4171-bdbf-8a076fb08d9c', '1841b8a9-ff1d-481d-80de-2134f2461e8b', '0a730462-ba50-4dbe-97c6-911f61a40346', '75182d69-6502-4d35-9298-e331061c7829', '3d2cbd5f-05d3-4457-8c01-5b302d4c5de7', '0ea53c63-8350-4a50-8dec-ccbbf0e401dc', '249089b6-ef6d-4ddb-973d-6d7b9d53baf8']","[150, 90, 30, 0, 120, 180, 60]","[0, 30, 60, 90, 120, 150, 180]","['black', 'grey', 'grey', 'grey', 'black', 'black', 'black']","[550, 250, 250, 250, 550, 550, 250]","['the gray dot did a circle and then went down and up in a right hook shape, the black dot moved a little to the left and right bouncing slightly up and down as it was moving. the grey dot was on the left side and the black dot was on the right side.', ""the grey dot moved up and down to the right in a consistant motion of moving downwards before nearly hitting the black dot. The black dot did a circular motion before beginning to move upward with it's path seeming to be about to cross with the grey dot"", 'the grey dot appeared to be making a consistent motion towards the black dot as is mimiced its motion traveling towards it. the black dot did a circular motion and then began moving away from the grey dot to the right before traveling upwards on the right side of the box', ""the grey dot made a consistant motion towards the black dot. the black dot appears to have been moving in a circle before 'seeing' the black dot and moving away from it to the right"", 'the grey dot bounced slightly as it moved down to the left before moving up, the black dot moved to the left somewhat bouncing as it went', 'the grey dot made a somewhat figure of eight motion around the left side of the box and the black dot move in a sort of hooked shape nearing the grey dot in the center of the box', ""the black dot appeared to be moving to the top right corner of the box before 'spotting' the grey dot and following it to the top of the box. The grey dot apeared to be moving to the top center of the box before 'seeing' the grey dot and going to the top right and circling around to the top centre""]",animals,I tried to figure out the patterns or shapes that the movements of the dots were performing to better decribe their movements,Nope
30,30,15030,5ea7009676be5a09f0a68b21,15,40,48,7,7,"['75182d69-6502-4d35-9298-e331061c7829', 'a4bd654a-f8f1-44b4-907f-0114e1caa391', '7b3797d6-d4cc-4819-b3ad-adfd144217e2', '16088d09-c11d-4b03-8c77-f92a33554c1e', '9996b324-9da6-4bd7-a5d5-305513d257ce', '5744f837-93bf-4eba-bddf-e630dedf974e', '802575f0-631d-4eeb-9e49-3b401b11b953']","['802575f0-631d-4eeb-9e49-3b401b11b953', 'a4bd654a-f8f1-44b4-907f-0114e1caa391', '9996b324-9da6-4bd7-a5d5-305513d257ce', '5744f837-93bf-4eba-bddf-e630dedf974e', '7b3797d6-d4cc-4819-b3ad-adfd144217e2', '16088d09-c11d-4b03-8c77-f92a33554c1e', '75182d69-6502-4d35-9298-e331061c7829']","[180, 30, 120, 150, 60, 90, 0]","[0, 30, 60, 90, 120, 150, 180]","['black', 'black', 'grey', 'black', 'grey', 'black', 'grey']","[550, 550, 250, 550, 250, 550, 250]","['moving together', 'black was following white', 'moving near each other', 'getting closer to each other', 'white was following black', 'black was following white', 'flowing around']",magnets,no,no
31,31,15031,60353a112b8be90521fdc7e8,15,41,48,7,7,"['53613c0d-b07e-4b22-b6ec-56dda26edc8f', 'cf5e29cd-eacd-4164-96d2-05de1fad88ba', '8d9b8961-4fb1-4413-b875-966e01b9963a', '7d6cad69-203a-49a4-9c6e-b0423a669e50', '3d2cbd5f-05d3-4457-8c01-5b302d4c5de7', '18487641-212a-4e1e-8730-31709d721382', '7bee52f4-919b-4633-b742-a0181f5f7f01']","['8d9b8961-4fb1-4413-b875-966e01b9963a', 'cf5e29cd-eacd-4164-96d2-05de1fad88ba', '7d6cad69-203a-49a4-9c6e-b0423a669e50', '7bee52f4-919b-4633-b742-a0181f5f7f01', '18487641-212a-4e1e-8730-31709d721382', '3d2cbd5f-05d3-4457-8c01-5b302d4c5de7', '53613c0d-b07e-4b22-b6ec-56dda26edc8f']","[60, 30, 90, 180, 150, 120, 0]","[0, 30, 60, 90, 120, 150, 180]","['black', 'black', 'grey', 'grey', 'grey', 'black', 'grey']","[550, 550, 550, 250, 250, 550, 250]","['black dot following grey dot', 'both moving to upper left corner', 'moving towards the left hand side', 'no pattern this time', 'grey dot staying in same area black dot more free', 'moving in zig zag', 'moving to right hand side']",magnets,none,none
32,32,15032,5eb6e7a762e52e08971f044c,15,39,48,7,7,"['19c65966-3d88-4851-afe4-ae34c498748c', 'c6499c88-e947-4ab5-8cde-3013da4d084f', '804f9681-f112-463c-a764-a40a823d6845', '89ce6bb6-b2cb-44cb-ba57-d78ab0224625', '1bc0b0c8-e058-4a68-bdab-65b544a8848d', '14f7fa8d-a7a5-4171-bdbf-8a076fb08d9c', '00ccc21a-d63a-41eb-8d3b-a2315d7b0d3e']","['19c65966-3d88-4851-afe4-ae34c498748c', '89ce6bb6-b2cb-44cb-ba57-d78ab0224625', '1bc0b0c8-e058-4a68-bdab-65b544a8848d', '00ccc21a-d63a-41eb-8d3b-a2315d7b0d3e', '14f7fa8d-a7a5-4171-bdbf-8a076fb08d9c', 'c6499c88-e947-4ab5-8cde-3013da4d084f', '804f9681-f112-463c-a764-a40a823d6845']","[0, 90, 120, 180, 150, 30, 60]","[0, 30, 60, 90, 120, 150, 180]","['grey', 'black', 'grey', 'grey', 'black', 'grey', 'black']","[550, 550, 250, 550, 550, 250, 250]","['The lighter dot seemed to be chasing/following the darker dot', 'Both dots moving up and down but darker dot was following the lighter dot', 'Darker dot seemed to be moving faster with wider/longer paces across the screen', 'Dots were moving independantly almost in their own individual circles', 'Both dots making seperate random movements', 'Dark dot moved towards light dot then light followed the dark a short distance', 'dark dot moved towards light dot after light dot started to make circular movement']",balls,None,None
33,33,15033,5c31130c36c0d200016826dc,15,45,48,7,7,"['9dfa52b0-9e95-49de-bddb-e53316f2b4ae', '69cbd581-b3e6-4aa9-8cc0-319380d1e9ce', '35fbacfe-f7fd-45d5-9266-5f6631809d11', '1841b8a9-ff1d-481d-80de-2134f2461e8b', '7da9ad01-3df5-45e9-8edf-4af0795536e1', '99fed5db-be9d-4d5f-8fef-1baaad5f1b70', '2176e0c4-bf6c-4f4a-a64b-23825205a150']","['2176e0c4-bf6c-4f4a-a64b-23825205a150', '99fed5db-be9d-4d5f-8fef-1baaad5f1b70', '7da9ad01-3df5-45e9-8edf-4af0795536e1', '69cbd581-b3e6-4aa9-8cc0-319380d1e9ce', '9dfa52b0-9e95-49de-bddb-e53316f2b4ae', '35fbacfe-f7fd-45d5-9266-5f6631809d11', '1841b8a9-ff1d-481d-80de-2134f2461e8b']","[180, 150, 120, 30, 0, 60, 90]","[0, 30, 60, 90, 120, 150, 180]","['grey', 'grey', 'black', 'black', 'grey', 'black', 'grey']","[550, 550, 250, 250, 550, 250, 250]","['The dots were floating almost simultaneously following the same path but the black one wanted to catch the grey one. It was like they were playing tag', 'The grey dot was moving towards the black dot but getting lost on the way', 'They almost seemed to circle until the grey dot advanced toward the black dot then ran away', 'The black dot was chasing the grey dot', 'They grey dot was chasing the black dot which was frantically trying to get away', 'Looked like the black dot was chasing the grey dot again', 'Again it looked like one was chasing the other but the grey dot seemed to not be able to get to the black dot']",animals,"No, I just said what I saw and what came in to my imagination",No
34,34,15034,5e0e63b52b12bd5ae9a859eb,15,43,48,7,7,"['37b0c4a3-57d4-4b4a-9bf7-e4d2eb48cee6', '57dbdc86-9c49-4214-a908-c4a254e90229', '85aa46c9-fe72-469c-a4cd-96f72ab4ccba', 'a8c7fb1b-9db5-4f8f-a05c-2ea241668e0f', 'b7261f19-79df-4505-b935-0cb890ebda9c', '9c46112a-3307-42b7-8386-bdf38ba679af', '4bc5af99-ede5-49ec-a929-d4fc6fae9b43']","['85aa46c9-fe72-469c-a4cd-96f72ab4ccba', '9c46112a-3307-42b7-8386-bdf38ba679af', 'b7261f19-79df-4505-b935-0cb890ebda9c', '57dbdc86-9c49-4214-a908-c4a254e90229', '4bc5af99-ede5-49ec-a929-d4fc6fae9b43', 'a8c7fb1b-9db5-4f8f-a05c-2ea241668e0f', '37b0c4a3-57d4-4b4a-9bf7-e4d2eb48cee6']","[60, 150, 120, 30, 180, 90, 0]","[0, 30, 60, 90, 120, 150, 180]","['black', 'grey', 'grey', 'grey', 'black', 'grey', 'black']","[550, 250, 550, 550, 550, 250, 250]","['Hovering around, with the black dot slowly hovering closer to the grey dot', 'Both dots moving downwards slowly, with the grey dot hovering closer towards the black dot', 'Both dots moving towards the left slowly and not fully', 'both dots moving into the centre and then moving out to the left together', 'Both dots hovering parallel to each other in the central plane of the box', 'both dots moving to the right side of the box, with the grey dot moving towards the black dot', 'both dots moving towards the top left of the box']",balls,no,no
35,35,15035,667a7551a3666990fac80091,15,44,48,7,7,"['47505654-05f0-4b92-a9a3-978c80bda46b', 'c53236a2-f564-41ec-89aa-2bd90765b0a4', '8bb5c4ad-b420-47c6-8e6a-c74a127a30ce', '1d4805c2-68cf-415b-af2f-f7c0564b59aa', '5d69d5c8-83dd-43c4-be85-f1c2ff45960d', '7e113c5d-92b4-4c01-9588-dae0fb76eb5f', '4a6f7598-dc16-47d6-987e-a48c1f938428']","['1d4805c2-68cf-415b-af2f-f7c0564b59aa', '47505654-05f0-4b92-a9a3-978c80bda46b', '5d69d5c8-83dd-43c4-be85-f1c2ff45960d', 'c53236a2-f564-41ec-89aa-2bd90765b0a4', '7e113c5d-92b4-4c01-9588-dae0fb76eb5f', '8bb5c4ad-b420-47c6-8e6a-c74a127a30ce', '4a6f7598-dc16-47d6-987e-a48c1f938428']","[90, 0, 120, 30, 150, 60, 180]","[0, 30, 60, 90, 120, 150, 180]","['black', 'black', 'grey', 'black', 'black', 'grey', 'grey']","[550, 550, 550, 250, 250, 550, 250]","['They were moving with fluctuations in a generally up-left motion', 'They both moved left, then the grey dot moved right for a short time but before making contact with the other moved down', 'They moved upward and closer to each other though never made contact', 'They moved right then down; the grey dot seemed to make moves to avoid contact with the black dot', 'The grey dot moved toward the bottom-right corner and then moved in a small circle, while the black dot made seemingly random movements and remained in largely the same area of the field', ""They both moved left; the black dot seemed to 'bounce' off of the left side of the field"", 'The grey dot moved around in the central-left area of the field while the black dot moved slowly down the right side']",animals,I attempted to remain with my intuitions as the movements seemed to be governed by highly complicated rather than linear directions,'What are they doing' is a vague question
36,36,15036,59f673018a2d3d00012c1544,15,42,48,7,7,"['72e764e1-0b34-4efd-96db-5df7934b2395', '0ea51ff3-f8ac-4d29-a981-0a167d74909c', 'adf2a5c5-86f0-4a90-976a-f3fdfdf528fc', 'ceedd529-39a5-4c29-8103-d6ac89521de6', '5d84c995-f49b-42d0-bf89-eb7f4bfcb1d4', '4cd79935-2124-4c73-9bff-ce0554f08119', '00139b14-fa60-4af8-9eba-0b4965060c34']","['72e764e1-0b34-4efd-96db-5df7934b2395', '00139b14-fa60-4af8-9eba-0b4965060c34', '4cd79935-2124-4c73-9bff-ce0554f08119', 'adf2a5c5-86f0-4a90-976a-f3fdfdf528fc', 'ceedd529-39a5-4c29-8103-d6ac89521de6', '0ea51ff3-f8ac-4d29-a981-0a167d74909c', '5d84c995-f49b-42d0-bf89-eb7f4bfcb1d4']","[0, 180, 150, 60, 90, 30, 120]","[0, 30, 60, 90, 120, 150, 180]","['grey', 'black', 'black', 'grey', 'grey', 'black', 'black']","[550, 250, 550, 250, 550, 250, 250]","['The grey one was following the black one', ""It looks like they're dancing"", ""The grey one was moving fast and the black one couldn't make up it's mind."", 'The grey one is slowly following the black one again', 'They came to each other and then the grey one followed the black one', 'Now the black one followed the grey one!', 'The black one is stalking the grey one.']",balls,"No, I just looked to see what they were doing",No it was fun!
37,37,15037,60ec7ea8d35da9b4118bdd56,15,46,48,7,7,"['816e0a69-dfb6-4a6f-8ffe-97d092e27835', '9093ecfa-6a76-4110-b88c-dd9330281781', '91659665-5079-44c4-96c1-49da784170fa', '22162d51-e2bc-4fd2-af29-7d21f36eca1d', '6480385b-e9eb-45a9-88e3-aade6c90476d', '2a1ab94f-201b-4fa2-9947-1eab7365fb0f', '124f53c2-90c6-4716-8221-e86088f8d257']","['91659665-5079-44c4-96c1-49da784170fa', '6480385b-e9eb-45a9-88e3-aade6c90476d', '2a1ab94f-201b-4fa2-9947-1eab7365fb0f', '22162d51-e2bc-4fd2-af29-7d21f36eca1d', '124f53c2-90c6-4716-8221-e86088f8d257', '816e0a69-dfb6-4a6f-8ffe-97d092e27835', '9093ecfa-6a76-4110-b88c-dd9330281781']","[60, 120, 150, 90, 180, 0, 30]","[0, 30, 60, 90, 120, 150, 180]","['grey', 'black', 'black', 'black', 'grey', 'black', 'grey']","[250, 550, 250, 250, 250, 550, 550]","['Travelling to the top right', 'Moving towards each other then away again', 'The light grey was repelling the black', 'Black trying to follow light grey', 'Light grey moving toward black, black making small circles toward top right', 'Black following light grey to bottom left', 'Light grey following black to top left']",magnets,None,No
38,38,15038,6078421a82b88488a16a2b1f,15,48,48,7,7,"['816e0a69-dfb6-4a6f-8ffe-97d092e27835', 'c53236a2-f564-41ec-89aa-2bd90765b0a4', '7b3797d6-d4cc-4819-b3ad-adfd144217e2', '89ce6bb6-b2cb-44cb-ba57-d78ab0224625', '87b8564c-7590-4001-b1e8-6f26c4e4bf8a', '99fed5db-be9d-4d5f-8fef-1baaad5f1b70', '4bc5af99-ede5-49ec-a929-d4fc6fae9b43']","['816e0a69-dfb6-4a6f-8ffe-97d092e27835', 'c53236a2-f564-41ec-89aa-2bd90765b0a4', '99fed5db-be9d-4d5f-8fef-1baaad5f1b70', '89ce6bb6-b2cb-44cb-ba57-d78ab0224625', '4bc5af99-ede5-49ec-a929-d4fc6fae9b43', '7b3797d6-d4cc-4819-b3ad-adfd144217e2', '87b8564c-7590-4001-b1e8-6f26c4e4bf8a']","[0, 30, 150, 90, 180, 60, 120]","[0, 30, 60, 90, 120, 150, 180]","['black', 'black', 'grey', 'black', 'black', 'grey', 'grey']","[550, 250, 550, 550, 550, 250, 250]","['The black dot is backing the grey one into a corner', 'The black dot is approaching the grey dot ', 'the grey dot is hovering around while the black dot is descending', 'the grey dot is rising with the black dot rising shortly behind', 'the grey dot is almost going around in circles, the black dot not so', 'the grey dot is approaching the black dot, backing it into a corner  (or against a wall)', 'both dots are descending with a bit of distance between them']",something else (describe on the next page),none,Nope
39,39,15039,64135c5f6cdfab4949d4b2ae,15,47,48,7,7,"['07cdb9d7-6577-428d-9498-8a7243527554', '17e4063d-b2f1-4406-8a8f-be7151fd23c1', '3273fde2-4b65-4cc7-b9b3-ef2604e8a514', '68c0fec8-cf83-48bf-8079-a5f414fe7504', '987cd79f-7d6a-426b-8983-8bee8675f0ba', '4270e833-4dad-483f-85cb-3dee1fccc571', '70f615a0-31d5-42b9-a44b-f5746c0b41a8']","['987cd79f-7d6a-426b-8983-8bee8675f0ba', '68c0fec8-cf83-48bf-8079-a5f414fe7504', '70f615a0-31d5-42b9-a44b-f5746c0b41a8', '3273fde2-4b65-4cc7-b9b3-ef2604e8a514', '4270e833-4dad-483f-85cb-3dee1fccc571', '17e4063d-b2f1-4406-8a8f-be7151fd23c1', '07cdb9d7-6577-428d-9498-8a7243527554']","[120, 90, 180, 60, 150, 30, 0]","[0, 30, 60, 90, 120, 150, 180]","['black', 'black', 'black', 'grey', 'grey', 'black', 'grey']","[550, 250, 250, 550, 550, 550, 250]","['The darker dot appeared to be attempting to move closer to the grey dot, however the grey dot did not appear to be consciously moving toward it or away from it.', 'The grey dot appeared to be actively moving away from the black dot, at one point it turned and headed toward the black dot but only seemingly as it approached the edge of the screen/border. It then resumed moving away', 'both dots appear to have been moving independently with no regard for what the other was doing. ', 'The grey dot appeared to be actively chasing the black dot. The black dot seemed to be purposefully moving away and trying to distance itself', 'Both dots appeared to be moving randomly, with no pattern or obvious trajectory and without recognition of each other', 'The black dot appeared to be chasing the grey dot which seemed to be actively moving away purposefully', 'The grey dot appeared to be chasing the black dot, and the black dot was making a constant effort to move further away from it']",animals,"I suppose I subconsciously placed an awareness/living status on each dot. I did not realise until the last couple of videos but I was perceiving that these entities were aware of each other and had different 'ides' of whether they wanted to be closer to the other, further, or were not concerned at all. To me, it seemed almost like two dogs or cats interacting with varying levels of interest in one another.",no
40,40,15040,613c56006d57a7ed16275b1b,15,51,48,7,7,"['bbdbec2b-0ce6-4f9c-ad2d-e6392388d4fb', '0ea51ff3-f8ac-4d29-a981-0a167d74909c', '3273fde2-4b65-4cc7-b9b3-ef2604e8a514', 'c7f85153-52e8-4379-839f-9596d6a3ee62', '5d69d5c8-83dd-43c4-be85-f1c2ff45960d', '1247c2a3-9c1a-478d-ad2b-6640715d76a4', '12a3cd27-040f-4199-9edb-5cd4bb71b3d0']","['c7f85153-52e8-4379-839f-9596d6a3ee62', '5d69d5c8-83dd-43c4-be85-f1c2ff45960d', 'bbdbec2b-0ce6-4f9c-ad2d-e6392388d4fb', '0ea51ff3-f8ac-4d29-a981-0a167d74909c', '12a3cd27-040f-4199-9edb-5cd4bb71b3d0', '1247c2a3-9c1a-478d-ad2b-6640715d76a4', '3273fde2-4b65-4cc7-b9b3-ef2604e8a514']","[90, 120, 0, 30, 180, 150, 60]","[0, 30, 60, 90, 120, 150, 180]","['grey', 'grey', 'black', 'black', 'black', 'black', 'grey']","[550, 550, 250, 250, 250, 250, 550]","['The grey one was following the black one cautiously', 'When they came close the black one moved away', 'The black one cornered the grey one', 'The black one followed the grey one to the edge', 'Both floating in their own spaces', 'Black one moving rigidly, grey one floating', 'When they came close, the grey one followed the black one']",animals,Tried to imagine them as something else e.g. animals and try to understand the 'body language' as such, No
41,41,15041,5950f9c0cb9b650001bf4dd5,15,52,48,7,7,"['c188e383-94d7-475e-9da5-6d1f0a1184bb', 'a4bd654a-f8f1-44b4-907f-0114e1caa391', 'a7fd07d1-e946-43a4-882d-0b3b7882ed21', '16088d09-c11d-4b03-8c77-f92a33554c1e', '9996b324-9da6-4bd7-a5d5-305513d257ce', '2a1ab94f-201b-4fa2-9947-1eab7365fb0f', '124f53c2-90c6-4716-8221-e86088f8d257']","['a7fd07d1-e946-43a4-882d-0b3b7882ed21', '9996b324-9da6-4bd7-a5d5-305513d257ce', 'a4bd654a-f8f1-44b4-907f-0114e1caa391', '2a1ab94f-201b-4fa2-9947-1eab7365fb0f', 'c188e383-94d7-475e-9da5-6d1f0a1184bb', '16088d09-c11d-4b03-8c77-f92a33554c1e', '124f53c2-90c6-4716-8221-e86088f8d257']","[60, 120, 30, 150, 0, 90, 180]","[0, 30, 60, 90, 120, 150, 180]","['grey', 'grey', 'black', 'black', 'black', 'black', 'grey']","[550, 250, 550, 250, 250, 550, 250]","['Grey dot was following the black dot', 'Grey dot was watching the black dot', 'Black dot was following the grey dot', 'Black dot was trying to get round grey dot', 'Black dot was chasing the grey dot', 'Grey dot was trying to get pas the Black dot.', 'Grey dot was watching the Black dot']",adults,no,no
42,42,15042,63e0ec61bae88c6bb36f5968,15,53,48,7,7,"['75182d69-6502-4d35-9298-e331061c7829', '0b80e3d6-cded-42b9-b7ff-67c9cdbcb3c5', 'adf2a5c5-86f0-4a90-976a-f3fdfdf528fc', '22162d51-e2bc-4fd2-af29-7d21f36eca1d', '3d2cbd5f-05d3-4457-8c01-5b302d4c5de7', '10a07293-2c74-4b8a-bbef-b0f436cde5fb', '802575f0-631d-4eeb-9e49-3b401b11b953']","['adf2a5c5-86f0-4a90-976a-f3fdfdf528fc', '3d2cbd5f-05d3-4457-8c01-5b302d4c5de7', '75182d69-6502-4d35-9298-e331061c7829', '802575f0-631d-4eeb-9e49-3b401b11b953', '0b80e3d6-cded-42b9-b7ff-67c9cdbcb3c5', '10a07293-2c74-4b8a-bbef-b0f436cde5fb', '22162d51-e2bc-4fd2-af29-7d21f36eca1d']","[60, 120, 0, 180, 30, 150, 90]","[0, 30, 60, 90, 120, 150, 180]","['grey', 'black', 'grey', 'black', 'grey', 'grey', 'black']","[250, 550, 250, 550, 550, 550, 250]","['Moving to top right hand corner.', 'moving slightly to the left but mostly around the middle.', 'Drifting to the right and then up.', 'quite apart. Black dot was drifting top right. Left dot was moving bottom left.', 'Moving from right to left with the grey dot moving with the black dot staying just in front.', 'getting closer together whilst rotating anti clockwise', 'slowly drifting right whilst moving up and down.']",balls,Trying to identify patterns of movement.,No.
43,43,15043,5e9872fda9de710844c3d21a,15,56,48,7,7,"['9dfa52b0-9e95-49de-bddb-e53316f2b4ae', '17e4063d-b2f1-4406-8a8f-be7151fd23c1', 'cca827ad-af9d-4cfd-ae71-7e028e3f8520', 'ceedd529-39a5-4c29-8103-d6ac89521de6', '7da9ad01-3df5-45e9-8edf-4af0795536e1', '7e113c5d-92b4-4c01-9588-dae0fb76eb5f', '7bee52f4-919b-4633-b742-a0181f5f7f01']","['cca827ad-af9d-4cfd-ae71-7e028e3f8520', 'ceedd529-39a5-4c29-8103-d6ac89521de6', '7e113c5d-92b4-4c01-9588-dae0fb76eb5f', '7da9ad01-3df5-45e9-8edf-4af0795536e1', '9dfa52b0-9e95-49de-bddb-e53316f2b4ae', '17e4063d-b2f1-4406-8a8f-be7151fd23c1', '7bee52f4-919b-4633-b742-a0181f5f7f01']","[60, 90, 150, 120, 0, 30, 180]","[0, 30, 60, 90, 120, 150, 180]","['black', 'grey', 'black', 'black', 'grey', 'black', 'grey']","[550, 550, 250, 250, 550, 550, 250]","['Black dot was heading towards grey dot', 'Grey dot was following black dot. Both moving downwards.', 'Dots were not related to eachothers movements', 'Movements not related, black heading towards grey slightly', 'Grey tracking black dot directly', 'Black following grey dot', 'Moving independently ']",balls,Watching the movement of each dot in relation to eachother to see if they followed the movement of the other one.,No feedback
